circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SHALIVAHANA SBH NAVODAYA,DOMESTIC,1,1463,1453.0,476547.0,5145.76
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SKD NAGAR,DOMESTIC,1,501,484.0,152061.0,1415.58
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR APARTMENT,DOMESTIC,1,1745,1740.0,678004.0,8285.18
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,SRINAGAR KESHAVNAGAR,DOMESTIC,1,332,316.0,101623.0,1074.74
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,STEEL & MINES,DOMESTIC,1,160,160.0,58008.0,517.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,UPPER BASTI,DOMESTIC,1,1198,1163.0,212723.0,1785.27
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,WB. WADDAR BASTHI,DOMESTIC,1,1229,1202.0,268999.0,2561.39
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,B-BLOCK-2,DOMESTIC,1,1286,1274.0,182247.0,1596.21
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GAYATRI HILLS,DOMESTIC,1,1218,1206.0,215115.0,1862.92
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,GRC HIGH VALUES,DOMESTIC,1,201,200.0,260606.0,3821.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,HYLAM COLONY,DOMESTIC,1,1309,1304.0,226367.0,2452.62
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,KRISHNA NAGAR C BLOCK,DOMESTIC,1,1784,1740.0,277243.0,2261.01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,KRISHNANAGAR C BLOCK,DOMESTIC,1,998,991.0,130962.0,1115.06
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LAXMI NARSIMHA NAGAR,DOMESTIC,1,1027,976.0,143183.0,1147.19
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LAXMI NARSIMHA NAGAR-2,DOMESTIC,1,1079,1054.0,132232.0,1134.35
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,LN NAGAR MAZIDH,DOMESTIC,1,948,947.0,133453.0,1184.01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,MARUTHI NAGAR,DOMESTIC,1,790,788.0,172251.0,1535.58
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,"MLA,MPS COLONY",DOMESTIC,1,620,566.0,326249.0,2891.94
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,POLICE  QUARTERS,DOMESTIC,1,851,253.0,36431.0,778.16
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,POLICE QUARTERS,DOMESTIC,1,758,583.0,81489.0,1091.76
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,DOMESTIC,1,1125,1115.0,364508.0,3972.72
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHAMATHNAGAR--2,DOMESTIC,1,785,766.0,88224.0,816.17
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHAMATHNAGAR-1,DOMESTIC,1,1695,1675.0,196889.0,1854.75
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,RAHMANTHNAGAR (NORTH),DOMESTIC,1,3006,2955.0,408515.0,3509.41
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S K NAGAR A-BLOCK,DOMESTIC,1,1494,1466.0,221060.0,1986.54
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S.K.NAGAR & BARRELA PT,DOMESTIC,1,1108,1101.0,204759.0,1453.3
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SANTOSHGIRI,DOMESTIC,1,2088,1998.0,205512.0,2170.2
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SRAVANTHI NAGAR,DOMESTIC,1,1286,1279.0,254273.0,2529.95
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SRI KRISHNA NAGAR-B BLOCK,DOMESTIC,1,1250,1214.0,257547.0,2845.03
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SRIKRISHNA NAGAR-A BLOCK,DOMESTIC,1,1315,1302.0,177683.0,1643.27
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,STREET LIGHTS,DOMESTIC,1,1,1.0,12.0,1.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI,DOMESTIC,1,1492,1448.0,239356.0,1819.56
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI-2,DOMESTIC,1,1427,1396.0,180655.0,1782.36
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,YOUSUF GUDA BASTI,DOMESTIC,1,1529,1491.0,358331.0,3818.6
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS," IBRAHIM,NOOR,GURUBRAHMA NAGER",DOMESTIC,1,1695,1645.0,254761.0,2241.64
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,APARTMENT IN ARORA COLONY,DOMESTIC,1,122,122.0,36670.0,502.92
